2019/05/09 13:02:00 [emerg] 1#1: unexpected end of parameter, expecting ";" in command line
2019/10/22 12:58:07 [error] 12#12: *44 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: tb.haitunzhuan.com, request: "GET / HTTP/1.1", upstream: "http://172.16.134.81:10021/", host: "tb.haitunzhuan.com"
2019/10/22 12:58:12 [error] 12#12: *44 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: tb.haitunzhuan.com, request: "GET / HTTP/1.1", upstream: "http://172.16.134.81:10021/", host: "tb.haitunzhuan.com"
2019/10/22 14:36:54 [error] 12#12: *2766 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /app/developer?id=1134496215 HTTP/1.1", upstream: "http://172.16.134.81:39080/app/developer?id=1134496215", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/app/comment?id=1134496215"
2019/10/22 16:28:30 [error] 12#12: *4171 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "POST /search/hint HTTP/1.1", upstream: "http://172.16.134.81:39080/search/hint", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 16:28:30 [error] 12#12: *4171 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "POST /search/hint HTTP/1.1", upstream: "http://172.16.134.81:39080/search/hint", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 16:28:32 [error] 12#12: *4171 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "POST /search/hint HTTP/1.1", upstream: "http://172.16.134.81:39080/search/hint", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 18:22:11 [error] 12#12: *4950 upstream prematurely closed connection while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "POST /search/hint HTTP/1.1", upstream: "http://172.16.134.81:39080/search/hint", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/app/asokey?id=1134496215"
2019/10/22 18:22:11 [error] 12#12: *4951 upstream prematurely closed connection while reading response header from upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "POST /search/hint HTTP/1.1", upstream: "http://172.16.134.81:39080/search/hint", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/app/asokey?id=1134496215"
2019/10/22 18:22:12 [error] 12#12: *4951 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "POST /search/hint HTTP/1.1", upstream: "http://172.16.134.81:39080/search/hint", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/app/asokey?id=1134496215"
2019/10/22 18:22:14 [error] 12#12: *4951 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/app/asokey?id=1134496215"
2019/10/22 20:44:24 [error] 12#12: *7384 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/rank/app/index"
2019/10/22 20:44:24 [error] 12#12: *7384 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:44:25 [error] 12#12: *7384 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/rank/app/index"
2019/10/22 20:44:25 [error] 12#12: *7384 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
2019/10/22 20:44:26 [error] 12#12: *7384 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA HTTP/1.1", upstream: "http://172.16.134.81:39080/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/rank/app/index"
2019/10/22 20:44:26 [error] 12#12: *7384 connect() failed (111: Connection refused) while connecting to upstream, client: 180.158.189.108, server: aso.haitunzhuan.com, request: "GET /favicon.ico HTTP/1.1", upstream: "http://172.16.134.81:39080/favicon.ico", host: "aso.haitunzhuan.com", referrer: "http://aso.haitunzhuan.com/search?keyword=%E7%88%B1%E5%A5%87%E8%89%BA"
